Protein IDs	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A
A6NHQ2	0	800.43	510.82	328.78	616.95	412.62	876.18	1745	0	56772
P62308;A8MWD9	1554.2	1964.7	12875	2807.5	3438.8	2022.3	1532.9	1959	0	61560
Q99613;B5ME19	2469.8	3046.6	3027.2	2311.3	3852.6	3483.3	2929.1	5947.4	0	132140
C9JRZ8	1569.8	509.24	1611.6	613.79	737.87	353.19	330.81	1724.9	0	28147
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;P39748;P0C0L5;P0C0L4	17158	15361	8346.5	6776.8	9110.2	7205.8	8254.6	12487	0	409000
CON__ENSEMBL:ENSBTAP00000016046;P23142	1661.6	1719.2	4719.5	751.59	3096.9	1406.1	1849.5	4125.1	0	135840
CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742	62387	61165	30060	20831	37335	31820	35826	68540	381.65	2264300
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__Q61726;CON__P78386;A6NCN2;P78386	1555.1	2365.4	1644.9	3975.2	3896.5	4117.7	6248.7	1569	286.05	27128
CON__P00761;Q9BYE2	366020	308040	320110	311380	306380	312740	272100	22410	5503.3	407500
CON__P01966;P69905	1037.3	1320.9	2465.6	2189.1	1461.6	728.29	360.84	1127.6	0	26326
CON__P02533;P02533;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2;Q04695	0	0	0	0	0	0	0	0	0	0
CON__P02584	5407.4	4981.5	2718	2450.3	2085.9	3328.4	3128.5	5085.5	0	176660
CON__P02768-1;P02768;Q92985	159660	181540	137410	161680	159890	215970	35077	14877	0	281330
CON__P02769	211560	247430	349750	360380	274490	300380	43126	62302	0	1447200
CON__P04258	4688.6	11086	7525.8	4300.3	7121.3	5740.1	3442.9	5532.8	0	270530
CON__P06868	290.67	314.38	253.36	0	561.91	334.73	165.25	0	0	5992
CON__P07477;P07477	1316.2	1524.6	1372.7	618.27	638.12	1769.1	9973.3	20942	0	766740
CON__P12763;P02765	60870	62504	92805	87437	72224	80966	15137	15284	1008.3	480210
P13645;CON__P13645;CON__P02535-1;CON__P08730-1;Q7Z3Y7;Q2M2I5;CON__Q2M2I5;CON__Q7Z3Y7;CON__Q7Z3Y8;CON__Q148H6;CON__P05784;Q7Z3Y8;CON__Q7Z3Z0;CON__O76015;P05783;O76013;CON__O76013;CON__Q9Z2K1;CON__O76014;CON__Q3ZAW8;O76015;Q7Z3Z0;O76014;CON__A2AB72	21382	5857.9	4774.5	5013.9	5377.7	6475.7	4649.4	1441.3	0	61271
CON__P13647;P13647	0	0	0	0	0	0	0	0	0	0
CON__P15497	0	0	0	0	0	0	0	0	0	0
CON__P15636	12380	5798.4	4637.8	2772.1	6921.3	6685.1	18052	43421	0	1451900
CON__P34955	12005	13681	20816	21613	16182	16266	2794.2	4589.7	0	129200
CON__P35908	0	0	0	0	0	0	0	0	0	0
CON__P35908v2;P35908	5678.4	2104.4	1663.4	1387.5	1696.8	1808.1	1192.3	844.79	0	41791
CON__P62894;P99999	1486.5	1871.1	757.55	777.86	2499	1020.6	791.85	2169.3	0	83751
